Sr. No.,NPCI Operated Systems,F.Y-2014-15,,F.Y-2015-16,,Apr'16,,May'16,,June'16,,July'16,,August'16,,September'16,,October'16,,November'16,,December'16,,January'17,,February'17,,March'17,,F.Y-2016-17,,Apr'17,,May'17,,Jun'17,,Jul'17,,Aug'17,,Sep'17,,Oct'17,,Nov'17,,Dec'17,,Jan'18,,Feb'18,,Mar'18,,F.Y-2017-18 (Apr'17 to Mar'18),,Apr'18,,May'18,,June'18,,July'18,,Aug'18,,Sep'18,,Oct'18,,Nov'18,,Dec'18,,Jan'19,,Feb'19,,Mar'19,,F.Y-2018-19,,Apr'19,,May'19,,Jun'19,,Jul'19,,Aug'19,,Sep'19,,Oct'19,,Nov'19,,Dec'19,,Jan'20,,Feb'20,,Mar'20,,F.Y-2019-20,,Apr'20,,May'20,,Jun'20,,Jul'20,,Aug'20,,Sep'20,,Oct'20,,Nov'20,,Dec'20,,Jan'21,,Feb'21,,Mar'21,,F.Y-2020-21,,Apr'21,,May'21,,Jun'21,,Jul'21,,Aug'21,,Sep'21,,Oct'21,,Nov'21,,Dec'21,,F.Y-2021-22,
,Financial Txns:,Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn),Volume (in Mn),Value (in Bn)
3,CTS Cheque Clearing (Processed Volume), 926.00 ," 66,009.50 ", 919.80 ," 69,889.15 ", 78.95 ," 6,257.62 ", 77.24 ," 5,784.87 ", 78.64 ," 5,734.50 ", 79.24 ," 5,716.59 ", 81.62 ," 5,924.66 ", 78.94 ," 5,736.57 ", 82.04 ," 5,974.14 ", 87.08 ," 5,419.22 ", 130.01 ," 6,811.91 ", 118.45 ," 6,618.44 ", 100.44 ," 5,993.95 ", 119.21 ," 8,062.77 "," 1,111.86 "," 74,035.22 ", 95.26 ," 6,990.65 ", 97.08 ," 6,745.89 ", 91.85 ," 6,409.95 ", 92.20 ," 6,342.50 ", 92.05 ," 6,224.34 ", 92.16 ," 6,271.53 ", 94.44 ," 6,340.16 ", 96.30 ," 6,633.94 ", 94.57 ," 6,563.97 ", 96.71 ," 6,792.60 ", 91.82 ," 6,453.56 ", 103.62 ," 7,682.16 "," 1,138.06 "," 79,451.24 ", 90.93 ," 7,155.21 ", 95.25 ," 7,102.42 ", 96.39 ," 7,092.78 ", 94.19 ," 6,749.96 ", 93.42 ," 6,632.71 ", 87.28 ," 6,289.79 ", 97.80 ," 6,948.47 ", 85.67 ," 6,153.57 ", 92.11 ," 6,626.42 ", 93.60 ," 6,804.43 ", 86.27 ," 6,369.68 ", 99.16 ," 7,610.47 "," 1,112.07 "," 81,535.92 ", 89.36 ," 7,235.33 ", 91.77 ," 7,136.88 ", 83.65 ," 6,282.46 ", 93.43 ," 6,800.15 ", 87.55 ," 6,350.55 ", 82.65 ," 5,904.78 ", 89.69 ," 6,591.44 ", 83.25 ," 6,183.73 ", 86.44 ," 6,455.73 ", 88.64 ," 6,595.90 ", 88.45 ," 7,987.22 ", 71.00 ," 5,650.46 "," 1,035.89 "," 79,174.61 ", 17.66 ," 1,634.87 ", 30.65 ," 2,600.12 ", 49.64 ," 4,014.41 ", 51.32 ," 4,174.32 ", 51.97 ," 4,252.52 ", 61.26 ," 4,851.14 ", 64.24 ," 5,240.90 ", 59.64 ," 4,943.83 ", 71.94 ," 6,116.68 ", 65.70 ," 5,506.66 ", 63.61 ," 5,471.09 ", 80.66 ," 7,219.58 ", 668.28 ," 56,026.11 ", 55.78 ," 5,533.57 ", 36.75 ," 3,001.66 ", 51.14 ," 3,588.65 ", 59.61 ," 5,532.56 ", 58.86 ," 5,339.02 ", 62.41 ," 5,664.68 ", 62.40 ," 5,826.04 ", 57.70 ," 5,332.23 ", 66.03 ," 6,409.55 ", 510.69 ," 46,227.97 "
4,IMPS , 78.44 , 581.89 , 220.81 ," 1,622.29 ", 26.78 , 210.44 , 27.66 , 216.18 , 29.68 , 237.17 , 32.18 , 256.17 , 33.89 , 268.49 , 35.93 , 289.12 , 42.11 , 343.71 , 36.17 , 324.81 , 52.86 , 432.01 , 62.43 , 491.26 , 59.75 , 482.21 , 67.41 , 564.68 , 506.84 ," 4,116.24 ", 65.08 , 562.06 , 66.72 , 585.59 , 65.84 , 596.55 , 69.07 , 604.76 , 75.66 , 651.49 , 82.85 , 717.60 , 88.12 , 750.42 , 89.49 , 782.58 , 98.01 , 871.06 , 99.59 , 882.14 , 99.25 , 882.70 , 110.16 ," 1,038.04 "," 1,009.84 "," 8,924.98 ", 109.55 ," 1,022.40 ", 116.62 ," 1,085.75 ", 120.49 ," 1,130.12 ", 127.38 ," 1,171.67 ", 133.58 ," 1,237.34 ", 135.74 ," 1,256.40 ", 154.62 ," 1,403.07 ", 149.94 ," 1,347.57 ", 176.93 ," 1,468.99 ", 171.51 ," 1,522.97 ", 166.37 ," 1,493.43 ", 190.18 ," 1,762.89 "," 1,752.91 "," 15,902.57 ", 185.16 ," 1,693.48 ", 183.33 ," 1,804.56 ", 171.33 ," 1,730.19 ", 189.28 ," 1,820.21 ", 200.31 ," 1,891.13 ", 204.16 ," 1,837.47 ", 236.93 ," 2,126.60 ", 228.08 ," 2,029.04 ", 256.47 ," 2,109.34 ", 259.53 ," 2,168.11 ", 247.80 ," 2,145.66 ", 216.82 ," 2,019.62 "," 2,579.17 "," 23,375.41 ", 122.47 ," 1,211.41 ", 166.68 ," 1,694.02 ", 198.91 ," 2,069.51 ", 222.10 ," 2,257.75 ", 246.12 ," 2,351.37 ", 279.61 ," 2,486.62 ", 318.97 ," 2,746.45 ", 339.11 ," 2,764.59 ", 355.69 ," 2,923.24 ", 346.55 ," 2,885.37 ", 318.97 ," 2,752.29 ", 363.14 ," 3,272.34 "," 3,278.34 "," 29,414.96 ", 322.96 ," 2,995.27 ", 279.81 ," 2,662.41 ", 303.76 ," 2,840.33 ", 349.76 ," 3,090.54 ", 379.71 ," 3,202.03 ", 384.88 ," 3,240.94 ", 430.67 ," 3,707.12 ", 412.05 ," 3,646.80 ", 442.98 ," 3,964.11 "," 3,306.59 "," 29,349.57 "
5,RuPay Card usage at (POS), 5.25 , 10.76 , 25.41 , 44.74 , 3.83 , 6.07 , 4.47 , 6.48 , 5.04 , 6.74 , 5.28 , 7.60 , 5.10 , 8.10 , 5.16 , 7.95 , 6.22 , 11.97 , 18.16 , 30.06 , 47.27 , 70.05 , 38.73 , 57.97 , 27.88 , 40.12 , 28.09 , 36.86 , 195.22 , 289.95 , 27.51 , 38.39 , 30.46 , 38.96 , 30.01 , 38.47 , 30.13 , 33.17 , 33.68 , 34.85 , 37.27 , 36.08 , 42.77 , 44.44 , 44.05 , 40.21 , 47.32 , 44.79 , 42.48 , 45.94 , 42.80 , 42.92 , 51.06 , 50.02 , 459.55 , 488.23 , 57.49 , 58.64 , 66.87 , 59.72 , 71.18 , 60.97 , 75.06 , 61.32 , 49.90 , 63.42 , 53.05 , 60.23 , 60.39 , 72.35 , 54.48 , 75.50 , 51.27 , 73.93 , 50.28 , 73.86 , 48.62 , 68.73 , 56.43 , 79.57 , 695.02 , 808.23 , 58.12 , 87.68 , 61.01 , 92.99 , 60.76 , 87.23 , 64.64 , 87.15 , 68.04 , 89.99 , 67.41 , 86.93 , 78.01 , 116.00 , 72.17 , 98.43 , 77.83 , 104.70 , 80.35 , 110.85 , 74.40 , 103.07 , 59.85 , 81.80 , 822.59 ," 1,146.81 ", 21.52 , 28.50 , 36.91 , 59.07 , 48.81 , 81.29 , 49.41 , 80.39 , 55.83 , 91.04 , 59.78 , 94.74 , 67.60 , 114.47 , 71.51 , 129.09 , 72.18 , 120.44 , 73.36 , 123.01 , 68.20 , 114.52 , 76.88 , 132.81 , 701.99 ," 1,169.38 ", 62.34 , 112.89 , 42.04 , 75.43 , 54.22 , 93.35 , 69.04 , 117.43 , 74.59 , 128.01 , 73.02 , 121.43 , 83.14 , 151.42 , 76.66 , 140.56 , 81.84 , 143.95 , 616.88 ," 1,084.47 "
6,RuPay Card usage at (eCom), 0.85 , 0.51 , 10.24 , 5.76 , 2.78 , 1.27 , 3.43 , 1.54 , 3.65 , 1.88 , 4.31 , 2.18 , 5.02 , 2.45 , 5.20 , 2.57 , 5.58 , 3.06 , 7.30 , 4.97 , 11.97 , 10.95 , 12.55 , 10.53 , 11.45 , 8.42 , 14.32 , 9.53 , 87.56 , 59.34 , 14.28 , 10.03 , 14.00 , 10.31 , 13.51 , 10.42 , 14.50 , 11.16 , 15.89 , 12.13 , 15.51 , 13.33 , 17.21 , 14.51 , 17.57 , 14.04 , 18.78 , 15.60 , 21.64 , 17.89 , 21.45 , 17.46 , 23.76 , 19.20 , 208.11 , 166.09 , 25.55 , 20.31 , 28.51 , 24.18 , 27.40 , 24.96 , 31.27 , 30.34 , 30.99 , 27.44 , 33.76 , 27.80 , 37.29 , 32.90 , 36.92 , 31.81 , 41.17 , 34.48 , 43.27 , 36.07 , 41.87 , 33.86 , 54.08 , 42.76 , 432.06 , 366.90 , 56.46 , 44.52 , 50.89 , 44.07 , 51.36 , 46.36 , 53.51 , 53.11 , 52.99 , 48.93 , 54.41 , 51.45 , 54.57 , 52.78 , 53.68 , 48.51 , 56.17 , 52.62 , 60.08 , 56.44 , 57.16 , 55.96 , 56.86 , 55.65 , 658.13 , 610.40 , 51.01 , 42.01 , 54.24 , 55.31 , 52.12 , 60.50 , 57.68 , 71.95 , 59.61 , 76.17 , 62.32 , 80.06 , 65.95 , 87.53 , 56.34 , 79.59 , 56.88 , 87.27 , 56.11 , 91.64 , 51.51 , 89.07 , 55.89 , 105.62 , 679.68 , 926.72 , 53.89 , 110.85 , 54.68 , 101.63 , 51.90 , 69.68 , 57.01 , 81.61 , 60.59 , 85.64 , 64.24 , 82.37 , 64.03 , 83.31 , 51.43 , 69.95 , 56.52 , 74.28 , 514.29 , 759.32 
7,AEPS (Inter Bank) Txn over Micro ATM (e.g. Cash withdrawal/ Cash Deposit),,, 0.36 , 0.86 , 0.08 , 0.19 , 0.14 , 0.32 , 0.23 , 0.53 , 0.36 , 0.85 , 0.45 , 1.11 , 0.60 , 1.54 , 0.84 , 2.21 , 0.67 , 1.28 , 1.97 , 2.07 , 2.65 , 3.16 , 3.28 , 3.92 , 5.04 , 5.64 , 16.29 , 22.82 , 6.14 , 7.94 , 6.87 , 11.71 , 6.63 , 13.13 , 6.90 , 14.10 , 7.28 , 16.75 , 7.63 , 20.50 , 8.61 , 25.29 , 8.82 , 25.67 , 9.16 , 26.31 , 11.47 , 32.96 , 12.48 , 35.03 , 14.28 , 39.79 , 106.27 , 269.17 , 14.66 , 41.52 , 15.66 , 43.47 , 17.13 , 47.79 , 18.27 , 48.14 , 20.14 , 51.71 , 20.86 , 52.04 , 23.03 , 58.93 , 22.29 , 60.49 , 23.10 , 62.10 , 24.06 , 64.24 , 24.59 , 65.65 , 30.68 , 82.24 , 254.47 , 678.31 , 33.96 , 93.51 , 34.21 , 92.29 , 33.58 , 88.67 , 37.35 , 96.85 , 39.30 , 100.34 , 34.78 , 89.35 , 39.63 , 108.23 , 34.69 , 97.78 , 33.46 , 93.10 , 41.09 , 112.87 , 39.69 , 113.89 , 35.45 , 101.70 , 437.19 ," 1,188.58 ", 89.69 , 147.09 , 101.50 , 181.30 , 100.63 , 199.82 , 76.02 , 177.29 , 83.47 , 198.12 , 73.39 , 173.52 , 73.23 , 186.03 , 69.51 , 190.55 , 72.50 , 199.19 , 78.85 , 219.79 , 66.69 , 186.62 , 77.81 , 226.98 , 963.27 ," 2,286.29 ", 74.02 , 221.39 , 84.26 , 246.19 , 87.56 , 246.67 , 88.84 , 234.47 , 108.48 , 273.54 , 90.93 , 232.92 , 96.87 , 254.10 , 94.62 , 256.88 , 96.05 , 258.61 , 821.64 ," 2,224.77 "
8,BBPS (Bill Payment passing through BBPCU),,,,, -   , -   , -   , -   , -   , -   , -   , -   , 0.0001 , 0.00002 , 0.001 , 0.0003 , 0.001 , 0.0003 , 0.001 , 0.0002 , 0.001 , 0.0004 , 0.008 , 0.004 , 0.02 , 0.01 , 0.03 , 0.02 , 0.03 , 0.04 , 0.04 , 0.03 , 0.10 , 0.06 , 0.17 , 0.15 , 0.36 , 0.26 , 1.17 , 0.56 , 1.69 , 0.65 , 1.81 , 0.73 , 2.04 , 1.01 , 2.86 , 1.69 , 3.55 , 1.75 , 4.58 , 2.06 , 7.26 , 2.59 , 10.60 , 10.98 , 9.35 , 2.70 , 10.93 , 3.85 , 15.98 , 5.32 , 19.42 , 6.31 , 23.52 , 7.20 , 25.12 , 7.71 , 29.40 , 9.10 , 40.37 , 9.55 , 36.93 , 10.19 , 40.71 , 9.71 , 39.51 , 8.97 , 46.86 , 10.61 , 73.50 , 90.99 , 8.83 , 10.55 , 9.82 , 13.86 , 9.63 , 15.73 , 10.23 , 17.40 , 10.57 , 18.28 , 10.97 , 18.95 , 12.60 , 22.52 , 13.39 , 20.85 , 14.08 , 19.70 , 14.80 , 19.67 , 14.92 , 19.57 , 15.85 , 19.54 , 145.69 , 216.62 , 12.77 , 13.71 , 16.54 , 21.79 , 17.64 , 29.70 , 20.16 , 37.07 , 21.21 , 37.82 , 23.19 , 39.21 , 23.72 , 39.61 , 23.93 , 37.13 , 26.22 , 38.99 , 27.24 , 40.52 , 28.23 , 42.22 , 35.24 , 51.96 , 276.08 , 429.74 , 35.13 , 52.02 , 39.22 , 62.70 , 45.47 , 79.35 , 51.13 , 96.13 , 58.88 , 103.07 , 59.55 , 120.27 , 60.62 , 105.30 , 59.49 , 102.23 , 62.14 , 103.38 , 471.65 , 824.46 
9,UPI - Unified Payments Interface,,,,, 0.0004 , 0.00001 , 0.001 , 0.00001 , 0.001 , 0.00001 , 0.09 , 0.004 , 0.09 , 0.03 , 0.08 , 0.32 , 0.10 , 0.49 , 0.29 , 1.01 , 1.99 , 7.02 , 4.46 , 16.96 , 4.38 , 19.38 , 6.37 , 24.25 , 17.86 , 69.47 , 7.20 , 22.71 , 9.36 , 27.97 , 10.35 , 30.98 , 11.63 , 34.11 , 16.80 , 41.57 , 30.98 , 53.26 , 76.96 , 70.58 , 105.02 , 96.69 , 145.64 , 131.74 , 151.83 , 155.71 , 171.40 , 191.26 , 178.05 , 241.73 , 915.23 ," 1,098.32 ", 190.08 , 270.22 , 189.48 , 332.89 , 246.37 , 408.34 , 235.65 , 518.43 , 312.02 , 542.12 , 405.87 , 598.35 , 482.36 , 749.78 , 524.94 , 822.32 , 620.17 ," 1,025.95 ", 672.75 ," 1,099.32 ", 674.19 ," 1,067.37 ", 799.54 ," 1,334.60 "," 5,353.40 "," 8,769.70 ", 781.79 ," 1,420.34 ", 733.54 ," 1,524.49 ", 754.54 ," 1,465.66 ", 822.29 ," 1,463.87 ", 918.35 ," 1,545.05 ", 955.02 ," 1,614.57 "," 1,148.36 "," 1,913.60 "," 1,218.77 "," 1,892.29 "," 1,308.40 "," 2,025.21 "," 1,305.02 "," 2,162.43 "," 1,325.69 "," 2,225.17 "," 1,246.84 "," 2,064.62 "," 12,518.62 "," 21,317.30 ", 999.57 ," 1,511.41 "," 1,234.50 "," 2,183.92 "," 1,336.93 "," 2,618.35 "," 1,497.36 "," 2,905.38 "," 1,618.83 "," 2,983.08 "," 1,800.14 "," 3,290.28 "," 2,071.62 "," 3,861.07 "," 2,210.23 "," 3,909.99 "," 2,234.16 "," 4,161.76 "," 2,302.73 "," 4,311.82 "," 2,292.90 "," 4,250.63 "," 2,731.68 "," 5,048.86 "," 22,330.65 "," 41,036.54 "," 2,641.06 "," 4,936.64 "," 2,539.57 "," 4,906.39 "," 2,807.51 "," 5,473.73 "," 3,247.82 "," 6,062.81 "," 3,555.55 "," 6,391.17 "," 3,654.30 "," 6,543.52 "," 4,218.65 "," 7,714.45 "," 4,186.48 "," 7,684.36 "," 4,566.30 "," 8,268.48 "," 31,417.23 "," 57,981.55 "
9.1,BHIM,,,,,,,,,,,,,,,,,,,,, 0.04 , 0.02 , 1.72 , 3.56 , 1.97 , 6.23 , 2.46 , 8.23 , 6.19 , 18.04 , 3.19 , 10.02 , 3.98 , 13.07 , 4.62 , 14.87 , 5.43 , 16.00 , 6.81 , 18.99 , 7.60 , 22.45 , 7.63 , 23.49 , 8.19 , 25.49 , 9.07 , 30.83 , 9.57 , 36.47 , 9.88 , 40.11 , 11.95 , 48.40 , 87.91 , 300.18 , 12.60 , 49.73 , 14.16 , 57.48 , 16.34 , 62.61 , 16.42 , 66.93 , 16.50 , 68.73 , 16.33 , 70.65 , 18.27 , 82.06 , 17.35 , 79.82 , 17.06 , 75.89 , 13.98 , 62.03 , 12.83 , 56.24 , 14.92 , 64.17 , 186.78 , 796.34 , 15.15 , 65.84 , 15.77 , 66.27 , 15.49 , 62.02 , 16.01 , 61.22 , 16.89 , 61.32 , 17.18 , 59.24 , 16.96 , 63.40 , 15.76 , 58.53 , 17.82 , 63.16 , 18.54 , 66.11 , 18.40 , 65.24 , 17.05 , 60.49 , 201.03 , 752.85 , 11.17 , 40.29 , 13.70 , 54.89 , 14.68 , 60.47 , 16.02 , 63.96 , 16.65 , 62.42 , 17.54 , 63.81 , 20.04 , 69.69 , 19.49 , 66.68 , 20.19 , 67.93 , 18.89 , 63.57 , 16.61 , 54.99 , 19.71 , 64.97 , 204.71 , 733.68 , 22.16 , 68.72 , 20.92 , 67.60 , 22.74 , 73.04 , 23.65 , 74.27 , 26.21 , 80.47 , 25.25 , 75.23 , 27.16 , 84.97 , 25.13 , 82.22 , 27.01 , 88.16 , 220.23 , 694.67 
9.2,USSD 2.0,,,,,,,,,,,,,,,,,,,,, 0.03 , 0.02 , 0.31 , 0.37 , 0.22 , 0.36 , 0.21 , 0.34 , 0.77 , 1.09 , 0.19 , 0.30 , 0.19 , 0.32 , 0.20 , 0.31 , 0.19 , 0.30 , 0.19 , 0.29 , 0.20 , 0.32 , 0.18 , 0.30 , 0.18 , 0.29 , 0.18 , 0.30 , 0.17 , 0.29 , 0.16 , 0.27 , 0.17 , 0.28 , 2.21 , 3.58 , 0.14 , 0.26 , 0.14 , 0.24 , 0.14 , 0.24 , 0.14 , 0.24 , 0.13 , 0.23 , 0.13 , 0.23 , 0.12 , 0.23 , 0.11 , 0.20 , 0.12 , 0.21 , 0.12 , 0.21 , 0.11 , 0.19 , 0.11 , 0.20 , 1.51 , 2.67 , 0.10 , 0.19 , 0.10 , 0.18 , 0.10 , 0.17 , 0.09 , 0.16 , 0.08 , 0.15 , 0.08 , 0.14 , 0.09 , 0.16 , 0.07 , 0.13 , 0.08 , 0.14 , 0.08 , 0.14 , 0.07 , 0.12 , 0.07 , 0.12 , 1.01 , 1.79 , 0.07 , 0.11 , 0.07 , 0.14 , 0.08 , 0.15 , 0.09 , 0.15 , 0.09 , 0.15 , 0.09 , 0.14 , 0.10 , 0.16 , 0.09 , 0.15 , 0.09 , 0.14 , 0.09 , 0.15 , 0.08 , 0.13 , 0.09 , 0.15 , 1.04 , 1.72 , 0.10 , 0.15 , 0.10 , 0.16 , 0.10 , 0.16 , 0.11 , 0.16 , 0.11 , 0.17 , 0.11 , 0.16 , 0.11 , 0.16 , 0.10 , 0.15 , 0.11 , 0.16 , 0.96 , 1.44 
9.3,UPI excluding BHIM & USSD,,,,,,,,,,,,,,,,,,,,, 1.92 , 6.98 , 2.44 , 13.02 , 2.19 , 12.79 , 3.70 , 15.68 , 10.24 , 48.48 , 3.82 , 12.39 , 5.19 , 14.59 , 5.54 , 15.80 , 6.01 , 17.81 , 9.80 , 22.29 , 23.18 , 30.48 , 69.14 , 46.79 , 96.65 , 70.92 , 136.40 , 100.61 , 142.09 , 118.95 , 161.37 , 150.88 , 165.94 , 193.05 , 825.12 , 794.55 , 177.34 , 220.23 , 175.17 , 275.16 , 229.89 , 345.48 , 219.08 , 451.26 , 295.39 , 473.16 , 389.41 , 527.48 , 463.96 , 667.49 , 507.48 , 742.31 , 602.99 , 949.85 , 658.64 ," 1,037.09 ", 661.25 ," 1,010.94 ", 784.50 ," 1,270.23 "," 5,165.11 "," 7,970.69 ", 766.53 ," 1,354.32 ", 717.67 ," 1,458.04 ", 738.95 ," 1,403.47 ", 806.19 ," 1,402.49 ", 901.37 ," 1,483.58 ", 937.76 ," 1,555.19 "," 1,131.32 "," 1,850.04 "," 1,202.93 "," 1,833.63 "," 1,290.50 "," 1,961.91 "," 1,286.40 "," 2,096.18 "," 1,307.23 "," 2,159.80 "," 1,229.72 "," 2,004.01 "," 12,316.58 "," 20,562.66 ", 988.34 ," 1,471.00 "," 1,220.72 "," 2,128.89 "," 1,322.16 "," 2,557.73 "," 1,481.24 "," 2,841.27 "," 1,602.08 "," 2,920.50 "," 1,782.51 "," 3,226.32 "," 2,051.48 "," 3,791.22 "," 2,190.65 "," 3,843.16 "," 2,213.88 "," 4,093.69 "," 2,283.75 "," 4,248.10 "," 2,276.21 "," 4,195.50 "," 2,711.88 "," 4,983.74 "," 22,124.90 "," 40,301.14 "," 2,623.16 "," 4,876.91 "," 2,523.24 "," 4,848.76 "," 2,789.85 "," 5,413.46 "," 3,229.05 "," 6,001.28 "," 3,529.22 "," 6,310.53 "," 3,628.93 "," 6,468.13 "," 4,191.37 "," 7,629.31 "," 4,161.25 "," 7,601.99 "," 4,539.18 "," 8,180.17 "," 31,215.25 "," 57,330.53 "
10,USSD 1.0,,,,, 1.26 , 0.01 , 2.08 , 0.01 , 2.02 , 0.01 , 2.20 , 0.00 , 2.34 , 0.00 , 3.07 , 0.00 , 3.52 , 0.00 , 5.92 , 0.01 , 15.27 , 0.09 , 1.56 , 0.01 , 0.78 , 0.001 , 0.98 , 0.0005 , 40.99 , 0.14 , 0.88 , 0.0003 , 1.06 , 0.0003 , 1.15 , 0.0001 , 1.55 , 0.0002 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4.64 , 0.00 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
11,NETC ,,,,,,,,,,,,,,,,,,,,, 3.19 , 0.88 , 6.28 , 1.79 , 6.55 , 1.84 , 7.50 , 2.09 , 23.52 , 6.61 , 7.41 , 2.11 , 8.07 , 2.25 , 8.21 , 2.26 , 8.64 , 2.34 , 9.66 , 2.58 , 10.14 , 2.75 , 9.79 , 2.63 , 10.70 , 2.85 , 12.29 , 3.20 , 12.93 , 3.28 , 13.23 , 3.34 , 15.45 , 3.81 , 126.52 , 33.39 , 15.93 , 3.91 , 17.72 , 4.23 , 18.28 , 4.29 , 18.44 , 4.17 , 20.32 , 4.63 , 20.63 , 4.70 , 22.25 , 5.02 , 21.23 , 4.51 , 24.20 , 5.35 , 24.45 , 5.33 , 23.85 , 5.27 , 26.73 , 5.96 , 254.03 , 57.38 , 25.98 , 5.85 , 27.52 , 6.16 , 26.61 , 5.96 , 27.26 , 6.09 , 27.78 , 6.11 , 29.01 , 6.59 , 31.46 , 7.03 , 34.92 , 7.74 , 64.33 , 12.57 , 93.02 , 16.23 , 110.13 , 18.41 , 84.55 , 14.21 , 582.59 , 112.94 , 10.26 , 2.48 , 55.17 , 11.42 , 81.92 , 15.12 , 86.62 , 16.23 , 96.83 , 17.13 , 110.08 , 19.41 , 122.36 , 21.37 , 124.88 , 21.02 , 138.41 , 23.04 , 148.56 , 23.98 , 158.96 , 25.56 , 193.21 , 30.86 ," 1,327.28 ", 227.62 , 164.33 , 27.77 , 116.48 , 21.25 , 157.86 , 25.76 , 192.33 , 29.76 , 201.20 , 30.77 , 193.61 , 30.09 , 214.23 , 33.57 , 214.13 , 31.77 , 242.07 , 36.79 ," 1,696.25 ", 267.54 
